,name,type,x,y,geometry
0,Steilôôre,pub,3.9824363,51.6251916,POINT (3.9824363 51.6251916)
1,Scheldezicht,restaurant,3.4483478,51.5173673,POINT (3.4483478 51.5173673)
2,De Gastronoom,restaurant,3.8006403,51.2278115,POINT (3.8006403 51.2278115)
3,Nefertiti,restaurant,3.8012578,51.2272673,POINT (3.8012578 51.2272673)
4,Bottles,restaurant,3.8010378,51.2266784,POINT (3.8010378 51.2266784)
5,'t Stremijn,cafe,3.8004668,51.2268869,POINT (3.8004668 51.2268869)
6,De Waterreus,pub,3.8005688,51.2268400,POINT (3.8005688 51.22684)
7,De Tukker,pub,3.8274151,51.2332403,POINT (3.8274151 51.2332403)
8,Toversluis,restaurant,3.3943607,51.3007544,POINT (3.3943607 51.3007544)
9,,restaurant,3.6049040,51.5856135,POINT (3.604904 51.5856135)
10,The Mex,restaurant,3.6175294,51.5815202,POINT (3.6175294 51.5815202)
11,Restaurant Mediterranée,restaurant,3.6171780,51.5763907,POINT (3.617178 51.5763907)
12,Eetcafé de Lamme Goedzak,restaurant,3.6169158,51.5762738,POINT (3.6169158 51.5762738)
13,Hotel Restaurant De Boekanier,restaurant,3.6160182,51.5765610,POINT (3.6160182 51.576561)
14,Grandcafe-Restaurant de Pelgrim,restaurant,3.6157785,51.5766530,POINT (3.6157785 51.576653)
15,De Lekkerbek,fast_food,3.6257265,51.5854910,POINT (3.6257265 51.585491)
16,Pannenkoekenhuis Berelekker,restaurant,3.6258263,51.5848997,POINT (3.6258263 51.5848997)
17,Restaurant de Heksenketel,restaurant,3.6147496,51.5772192,POINT (3.6147496 51.5772192)
18,Strandpaviljoen Aquarius,cafe,3.6039401,51.5928750,POINT (3.6039401 51.592875)
19,Café-Restaurant Uitspanning Oranjezon,cafe,3.5825120,51.5825027,POINT (3.582512 51.5825027)
20,De schaapskooi,restaurant,3.4201823,51.2706897,POINT (3.4201823 51.2706897)
21,De Baeckermat,restaurant,3.8186560,51.2292473,POINT (3.818656 51.2292473)
22,Surf-Inn,restaurant,3.8404167,51.7378388,POINT (3.8404167 51.7378388)
23,Leonardos,restaurant,3.8402370,51.7377691,POINT (3.840237 51.7377691)
24,Salud!,restaurant,3.8395578,51.7376667,POINT (3.8395578 51.7376667)
25,'t Schippershuis,pub,3.8007356,51.2288137,POINT (3.8007356 51.2288137)
26,,restaurant,3.5339452,51.4011008,POINT (3.5339452 51.4011008)
27,Beachclub Zuiderduin,restaurant,3.4582077,51.5108855,POINT (3.4582077 51.5108855)
28,Cafe Smerdiek,pub,4.0786245,51.5492775,POINT (4.0786245 51.5492775)
29,Jansens& co,restaurant,3.5468913,51.5777565,POINT (3.5468913 51.5777565)
30,"Strandpaviljoen ""De Strandzot""",fast_food,3.4695810,51.5058411,POINT (3.469581 51.5058411)
31,Jeanzz,restaurant,3.8952303,51.7401748,POINT (3.8952303 51.7401748)
32,‘t Koepeltje,fast_food,3.8299284,51.7380664,POINT (3.8299284 51.7380664)
33,Zeerust,restaurant,3.7837861,51.7418554,POINT (3.7837861 51.7418554)
34,32 Eten & Drinken,restaurant,3.8908573,51.5042984,POINT (3.8908573 51.5042984)
35,Lambik,pub,3.8908618,51.5042625,POINT (3.8908618 51.5042625)
36,De Ereburger,restaurant,3.8907609,51.5046345,POINT (3.8907609 51.5046345)
37,"Strandpaviljoen ""De Zeemeeuw""",restaurant,3.3719165,51.3726264,POINT (3.3719165 51.3726264)
38,Frituur Parkzicht,fast_food,3.6746218,51.5965192,POINT (3.6746218 51.5965192)
39,Clubhuis De Klip,restaurant,3.5876464,51.4488828,POINT (3.5876464 51.4488828)
40,Het Badpaviljoen,restaurant,3.4961208,51.5660504,POINT (3.4961208 51.5660504)
41,Pannen&Koeken,restaurant,3.4388013,51.5272502,POINT (3.4388013 51.5272502)
42,,cafe,3.4400550,51.5277432,POINT (3.440055 51.5277432)
43,Brasserie De Tijd,restaurant,3.4394479,51.5275974,POINT (3.4394479 51.5275974)
44,IJssalon Sweethearts,cafe,3.6163799,51.5765028,POINT (3.6163799 51.5765028)
45,De Panhoeve,restaurant,3.8186493,51.4941697,POINT (3.8186493 51.4941697)
46,Kiekieris,bar,3.7696596,51.4524373,POINT (3.7696596 51.4524373)
47,de Pompe,bar,3.8907584,51.5046789,POINT (3.8907584 51.5046789)
48,'s Lands Welvaren,cafe,3.8772865,51.4333187,POINT (3.8772865 51.4333187)
49,De Platte Knoop,cafe,3.5563686,51.3978044,POINT (3.5563686 51.3978044)
50,De Punt,cafe,3.5967740,51.4411382,POINT (3.596774 51.4411382)
51,Schouwer Hoeck,restaurant,3.7849180,51.7409551,POINT (3.784918 51.7409551)
