,name,type,x,y,geometry
0,Kuijerdamseweg,bus_stop,3.7902408,51.7240806,POINT (3.7902408 51.7240806)
1,Park De Soeten Haert,bus_stop,3.7972590,51.7397430,POINT (3.797259 51.739743)
2,Papegaaienburg,bus_stop,3.5806438,51.4648255,POINT (3.5806438 51.4648255)
3,Strandcamping Groede,bus_stop,3.4880120,51.3965040,POINT (3.488012 51.396504)
4,Gemeentehuis,bus_stop,5.6739447,51.6965953,POINT (5.6739447 51.6965953)
5,Melkpad,bus_stop,5.6755437,51.7013049,POINT (5.6755437 51.7013049)
6,Eikenhof,bus_stop,5.6714191,51.6939881,POINT (5.6714191 51.6939881)
7,Station,bus_stop,4.0367802,51.4651686,POINT (4.0367802 51.4651686)
8,Luchtenburg,bus_stop,4.0694660,51.4372173,POINT (4.069466 51.4372173)
9,Veerhaven,bus_stop,3.5475099,51.4004083,POINT (3.5475099 51.4004083)
10,Langeweg,bus_stop,3.5516160,51.3966870,POINT (3.551616 51.396687)
11,Sportlaan,bus_stop,3.5490550,51.3967630,POINT (3.549055 51.396763)
12,Langeweg,bus_stop,3.5513580,51.3966830,POINT (3.551358 51.396683)
13,"Sportlaan;Breskens, Sportlaan",bus_stop,3.5490094,51.3967683,POINT (3.5490094 51.3967683)
14,Havenstraat,bus_stop,3.3647730,51.3137000,POINT (3.364773 51.3137)
15,Havenstraat,bus_stop,3.3645950,51.3138320,POINT (3.364595 51.313832)
16,Sint Annastraat,bus_stop,3.3830110,51.3097080,POINT (3.383011 51.309708)
17,Sint Annastraat,bus_stop,3.3821460,51.3094780,POINT (3.382146 51.309478)
18,Absdaalseweg,bus_stop,4.0419150,51.2756310,POINT (4.041915 51.275631)
19,Absdaalseweg,bus_stop,4.0418110,51.2757290,POINT (4.041811 51.275729)
20,Alvarezlaan,bus_stop,3.8469670,51.3196989,POINT (3.846967 51.3196989)
21,Alvarezlaan,bus_stop,3.8467357,51.3197498,POINT (3.8467357 51.3197498)
22,Baljuwlaan,bus_stop,3.8310980,51.2830270,POINT (3.831098 51.283027)
23,Baljuwlaan,bus_stop,3.8309330,51.2832490,POINT (3.830933 51.283249)
24,Bernhardstraat,bus_stop,3.8263010,51.2311610,POINT (3.826301 51.231161)
25,Bernhardstraat,bus_stop,3.8261840,51.2312230,POINT (3.826184 51.231223)
26,Bijlokestraat,bus_stop,3.9038540,51.2696470,POINT (3.903854 51.269647)
27,Bijlokestraat,bus_stop,3.9041890,51.2699210,POINT (3.904189 51.269921)
28,Bolwerk,bus_stop,3.8000950,51.2299610,POINT (3.800095 51.229961)
29,Bolwerk,bus_stop,3.8000040,51.2300950,POINT (3.800004 51.230095)
30,Bonte Koe,bus_stop,3.9153240,51.2405120,POINT (3.915324 51.240512)
31,Bonte Koe,bus_stop,3.9153640,51.2406020,POINT (3.915364 51.240602)
32,Bossestraat,bus_stop,3.9805760,51.3230290,POINT (3.980576 51.323029)
33,Bossestraat,bus_stop,3.9805730,51.3231270,POINT (3.980573 51.323127)
34,Bredestraat,bus_stop,3.4935550,51.3280480,POINT (3.493555 51.328048)
35,Brievenbus,bus_stop,3.9382320,51.2402870,POINT (3.938232 51.240287)
36,Brievenbus,bus_stop,3.9358190,51.2405000,POINT (3.935819 51.2405)
37,Brieversstraat,bus_stop,3.4491680,51.2474970,POINT (3.449168 51.247497)
38,Brugsevaart,bus_stop,3.4835470,51.3213130,POINT (3.483547 51.321313)
39,Brugsevaart,bus_stop,3.4842407,51.3215029,POINT (3.4842407 51.3215029)
40,Busstation Biervliet,bus_stop,3.6808340,51.3275270,POINT (3.680834 51.327527)
41,Busstation,bus_stop,3.7807620,51.3080950,POINT (3.780762 51.308095)
42,Busstation Westerscheldetunnel,bus_stop,3.8138510,51.3272600,POINT (3.813851 51.32726)
43,Busstation Westerscheldetunnel,bus_stop,3.8133940,51.3276230,POINT (3.813394 51.327623)
44,Busstation Westerscheldetunnel,bus_stop,3.8136110,51.3275450,POINT (3.813611 51.327545)
45,Busstation Westerscheldetunnel,bus_stop,3.8134020,51.3278030,POINT (3.813402 51.327803)
46,Busstation,bus_stop,3.9137750,51.3127180,POINT (3.913775 51.312718)
47,Busstation,bus_stop,3.9133140,51.3127840,POINT (3.913314 51.312784)
48,Camping de Bonte Hoeve,bus_stop,3.5071364,51.3008416,POINT (3.5071364 51.3008416)
49,Camping de Meidoorn,bus_stop,3.3882510,51.3138810,POINT (3.388251 51.313881)
50,Camping de Meidoorn,bus_stop,3.3884770,51.3139560,POINT (3.388477 51.313956)
51,Grens,bus_stop,4.1641710,51.2927840,POINT (4.164171 51.292784)
52,Grens,bus_stop,4.1642700,51.2928480,POINT (4.16427 51.292848)
53,Cloosterstraat,bus_stop,4.0201770,51.3671010,POINT (4.020177 51.367101)
54,Cloosterstraat,bus_stop,4.0204770,51.3671490,POINT (4.020477 51.367149)
55,Crijnssenstraat,bus_stop,3.9158850,51.2640550,POINT (3.915885 51.264055)
56,Crijnssenstraat,bus_stop,3.9160060,51.2643080,POINT (3.916006 51.264308)
57,De Blaauwe Hoeve,bus_stop,4.0617810,51.2904220,POINT (4.061781 51.290422)
58,De Blaauwe Hoeve,bus_stop,4.0615180,51.2905990,POINT (4.061518 51.290599)
59,De Knol,bus_stop,3.8032430,51.3198970,POINT (3.803243 51.319897)
60,De Knol,bus_stop,3.8049030,51.3204410,POINT (3.804903 51.320441)
61,De Sterre,bus_stop,4.0895250,51.2661120,POINT (4.089525 51.266112)
62,De Vurssche,bus_stop,3.9026780,51.2652540,POINT (3.902678 51.265254)
63,De Vurssche,bus_stop,3.9027320,51.2653350,POINT (3.902732 51.265335)
64,De Westkant,bus_stop,3.8223860,51.3390720,POINT (3.822386 51.339072)
65,De Westkant,bus_stop,3.8222750,51.3393760,POINT (3.822275 51.339376)
66,Dethon,bus_stop,3.8363860,51.3194450,POINT (3.836386 51.319445)
67,Dethon,bus_stop,3.8361110,51.3195310,POINT (3.836111 51.319531)
