,name,type,x,y,geometry
0,Vlissingen,station,3.5957220,51.4440529,POINT (3.595722 51.4440529)
1,'s-Gravenpolder-'s-Heer Abtskerke,station,3.8923750,51.4620883,POINT (3.892375 51.4620883)
2,Kwadendamme,station,3.8891869,51.4409246,POINT (3.8891869 51.4409246)
3,Hoedekenskerke,station,3.9137769,51.4206086,POINT (3.9137769 51.4206086)
4,Pluimweide,station,3.9134595,51.4216751,POINT (3.9134595 51.4216751)
5,Vlissingen Souburg,station,3.5950865,51.4647139,POINT (3.5950865 51.4647139)
6,Middelburg,station,3.6181236,51.4952465,POINT (3.6181236 51.4952465)
7,Arnemuiden,station,3.6695432,51.5015317,POINT (3.6695432 51.5015317)
8,Goes,station,3.8893972,51.4981930,POINT (3.8893972 51.498193)
9,Kapelle-Biezelinge,station,3.9566104,51.4805125,POINT (3.9566104 51.4805125)
10,Kruiningen-Yerseke,station,4.0376260,51.4650521,POINT (4.037626 51.4650521)
11,Krabbendijke,station,4.1171144,51.4333216,POINT (4.1171144 51.4333216)
12,Rilland-Bath,station,4.1607921,51.4226196,POINT (4.1607921 51.4226196)
13,Goes (SGB),station,3.8828193,51.4971093,POINT (3.8828193 51.4971093)
14,Baarland,station,3.8826993,51.4150204,POINT (3.8826993 51.4150204)
15,Nisse,station,3.8801356,51.4539408,POINT (3.8801356 51.4539408)
