,name,type,x,y,geometry
0,Openbare Bibliotheek,library,4.7911545,51.9351101,POINT (4.7911545 51.9351101)
1,Daltonschool Oegstgeest,school,4.4778756,52.1938611,POINT (4.4778756 52.1938611)
2,C.B.S. Joris de Witte,school,4.4777078,52.1944424,POINT (4.4777078 52.1944424)
3,Eerste Westlandse Montessorischool,school,4.1850046,52.0308005,POINT (4.1850046 52.0308005)
4,Bibliotheek Bollenstreek,library,4.4710566,52.1858979,POINT (4.4710566 52.1858979)
5,OBS Roxenisse,school,4.0669083,51.7707954,POINT (4.0669083 51.7707954)
6,Lyceum Schravenlant,college,4.3916514,51.9247914,POINT (4.3916514 51.9247914)
7,Het Startblok,school,4.3912620,51.9235155,POINT (4.391262 51.9235155)
8,de Meander,school,4.3934735,52.0045902,POINT (4.3934735 52.0045902)
9,OBS De Klipper,school,4.4734084,51.9964834,POINT (4.4734084 51.9964834)
10,Waterweg Schiedam Noord,library,4.3738441,51.9347838,POINT (4.3738441 51.9347838)
11,,school,4.3700756,51.9288358,POINT (4.3700756 51.9288358)
12,Oudenhof-Bokkesprong,school,4.4764847,52.1894447,POINT (4.4764847 52.1894447)
13,Bibliotheek Rijswijk,library,4.3235507,52.0372236,POINT (4.3235507 52.0372236)
14,Bibliotheek Walburg,library,4.6538706,51.8225158,POINT (4.6538706 51.8225158)
15,Oude Universiteitsbibliotheek,university,4.4867847,52.1566008,POINT (4.4867847 52.1566008)
16,Stevenshof,library,4.4540071,52.1504348,POINT (4.4540071 52.1504348)
17,De Groeiplaneet,school,4.6203339,51.9178482,POINT (4.6203339 51.9178482)
18,Het Octaaf,school,4.6107295,51.9195476,POINT (4.6107295 51.9195476)
19,Het Mozaïek,school,4.6104548,51.9193411,POINT (4.6104548 51.9193411)
20,Mareland,kindergarten,4.4915347,52.1650598,POINT (4.4915347 52.1650598)
21,Angela's Kroost,kindergarten,4.4685314,52.1907553,POINT (4.4685314 52.1907553)
22,Het kindercircus,kindergarten,4.4796864,52.1969434,POINT (4.4796864 52.1969434)
23,Kweenie,kindergarten,4.4544596,52.1501659,POINT (4.4544596 52.1501659)
24,De Zwaluw,school,4.4481803,52.1537135,POINT (4.4481803 52.1537135)
25,De Bereboot,kindergarten,4.4717677,52.1847283,POINT (4.4717677 52.1847283)
26,Kiekeboe,kindergarten,4.4714745,52.1847282,POINT (4.4714745 52.1847282)
27,de Oranjerie,school,4.5416432,52.0579437,POINT (4.5416432 52.0579437)
28,De Oostwijzer Orion,school,4.5411675,52.0575440,POINT (4.5411675 52.057544)
29,Christelijke basisschool Oranje-Nassau,school,4.7696307,51.8188783,POINT (4.7696307 51.8188783)
30,Openbare bibliotheek Sliedrecht,library,4.7721289,51.8235529,POINT (4.7721289 51.8235529)
31,Anne Frank Basischool,school,4.4510487,52.1487137,POINT (4.4510487 52.1487137)
32,De Stevenshof,school,4.4489200,52.1535661,POINT (4.44892 52.1535661)
33,'t Klankbord,school,4.4485320,52.1534162,POINT (4.448532 52.1534162)
34,Comenius College,school,4.6258449,51.9740853,POINT (4.6258449 51.9740853)
35,Prins Johan Frisoschool,school,4.4738582,51.9960328,POINT (4.4738582 51.9960328)
36,Rehobothschool,school,4.5795687,52.0446546,POINT (4.5795687 52.0446546)
37,Burgemeester IJP Keyzerschool,school,4.5767020,52.0468717,POINT (4.576702 52.0468717)
38,Annie M.G. Schmidtschool,school,4.2821454,52.0959056,POINT (4.2821454 52.0959056)
39,Casaschool bovenbouw,school,4.4372636,52.0107148,POINT (4.4372636 52.0107148)
40,SIN (Sekolah Indonesia Nederland),college,4.3741257,52.1141272,POINT (4.3741257 52.1141272)
41,,school,4.5589382,51.9710106,POINT (4.5589382 51.9710106)
42,De Hofvijver,school,4.5126501,52.0628770,POINT (4.5126501 52.062877)
43,Montaigne Lyceum,school,4.3849624,52.0523777,POINT (4.3849624 52.0523777)
