,name,type,x,y,geometry
0,Pathé Schouwburgplein,cinema,4.4732509,51.9209280,POINT (4.4732509 51.920928)
1,Muziektheater De Ontmoeting,theatre,4.2460865,51.9059247,POINT (4.2460865 51.9059247)
2,Filmhuis Lumen,cinema,4.3591581,52.0142681,POINT (4.3591581 52.0142681)
3,Muziektent,theatre,4.5048406,52.1982939,POINT (4.5048406 52.1982939)
4,Theater aan de Schie,theatre,4.4035285,51.9186546,POINT (4.4035285 51.9186546)
5,De Spin,arts_centre,4.2521469,51.9768031,POINT (4.2521469 51.9768031)
6,Kunstcentrum Haagweg,arts_centre,4.4791212,52.1594027,POINT (4.4791212 52.1594027)
7,CBK,arts_centre,4.4941509,52.1590890,POINT (4.4941509 52.159089)
8,Landvast,cinema,4.6575341,51.8609798,POINT (4.6575341 51.8609798)
9,Kunst&Vliegwerk,arts_centre,4.4949899,52.1551627,POINT (4.4949899 52.1551627)
10,Theater Castellum,theatre,4.6620447,52.1294980,POINT (4.6620447 52.129498)
11,Theater Castellum Cinema,cinema,4.6622933,52.1294924,POINT (4.6622933 52.1294924)
12,Vue Alphen a/d Rijn,cinema,4.6635774,52.1286329,POINT (4.6635774 52.1286329)
13,Trianon,cinema,4.4871306,52.1598724,POINT (4.4871306 52.1598724)
14,Kinepolis Zoetermeer,cinema,4.4947546,52.0623546,POINT (4.4947546 52.0623546)
15,Stadstheater Zoetermeer,theatre,4.4937402,52.0623265,POINT (4.4937402 52.0623265)
16,Pathé Delft,cinema,4.3633065,52.0084979,POINT (4.3633065 52.0084979)
17,Cultuurpodium De Boerderij,arts_centre,4.4694618,52.0633298,POINT (4.4694618 52.0633298)
18,Pathé Spuimarkt,cinema,4.3149007,52.0772534,POINT (4.3149007 52.0772534)
19,Hal 4,theatre,4.5196513,51.9120397,POINT (4.5196513 51.9120397)
20,Oude Luxor theater,theatre,4.4770274,51.9229973,POINT (4.4770274 51.9229973)
21,Bres,theatre,4.1602693,51.8954973,POINT (4.1602693 51.8954973)
22,Amicitia,theatre,4.6839126,51.8960355,POINT (4.6839126 51.8960355)
23,Theater De Muze,theatre,4.4363428,52.2491322,POINT (4.4363428 52.2491322)
24,Kinepolis Spijkenisse,cinema,4.3208769,51.8532051,POINT (4.3208769 51.8532051)
25,Hoeve Rijlaarsdam,arts_centre,4.7748271,52.1663224,POINT (4.7748271 52.1663224)
26,Vue Cinema's,cinema,4.9768701,51.8284356,POINT (4.9768701 51.8284356)
27,Tripodia,theatre,4.4176518,52.2065591,POINT (4.4176518 52.2065591)
28,Galerie Korsman,arts_centre,4.4719811,52.1776753,POINT (4.4719811 52.1776753)
29,Tivoli,cinema,4.1327869,51.8355844,POINT (4.1327869 51.8355844)
30,Prinsestheater,theatre,4.4475244,51.9100438,POINT (4.4475244 51.9100438)
31,Kooman's Poppentheater,theatre,4.2751167,52.0971354,POINT (4.2751167 52.0971354)
32,LantarenVenster,cinema,4.4870223,51.9048543,POINT (4.4870223 51.9048543)
33,LantarenVenster,theatre,4.4874276,51.9047550,POINT (4.4874276 51.904755)
34,Flora Theater,theatre,4.6475667,52.0771948,POINT (4.6475667 52.0771948)
35,Theater Walhalla,theatre,4.4841538,51.9013261,POINT (4.4841538 51.9013261)
36,Kantine Walhalla,theatre,4.4863938,51.9017472,POINT (4.4863938 51.9017472)
37,Lido,cinema,4.4845149,52.1624759,POINT (4.4845149 52.1624759)
38,Stadsgehoorzaal Vlaardingen,theatre,4.3465596,51.9096030,POINT (4.3465596 51.909603)
39,Fighter (Intorno),theatre,4.4536023,51.9024240,POINT (4.4536023 51.902424)
40,Russian School of Arts,arts_centre,4.4300534,51.9327178,POINT (4.4300534 51.9327178)
41,Openluchttheater Leidse hout,theatre,4.4802621,52.1786442,POINT (4.4802621 52.1786442)
42,Isala Theater,theatre,4.5882206,51.9315597,POINT (4.5882206 51.9315597)
43,De Nieuwe Regentes,theatre,4.2839137,52.0774406,POINT (4.2839137 52.0774406)
44,NEST,arts_centre,4.2913403,52.0763610,POINT (4.2913403 52.076361)
45,Amco Theater,theatre,4.3624024,52.0744898,POINT (4.3624024 52.0744898)
46,Ludens Theater,theatre,4.3622214,52.0746019,POINT (4.3622214 52.0746019)
47,Pathé Scheveningen,cinema,4.2835357,52.1125051,POINT (4.2835357 52.1125051)
48,De Flits Microtheater,theatre,4.3608613,52.0126004,POINT (4.3608613 52.0126004)
49,Galerie De Zaal,arts_centre,4.3602661,52.0081300,POINT (4.3602661 52.00813)
50,Rietveld Theater,theatre,4.3607186,52.0135511,POINT (4.3607186 52.0135511)
51,De Improvisatie Studio,theatre,4.5019935,52.0406105,POINT (4.5019935 52.0406105)
52,JJ Music House,arts_centre,4.5288612,52.0481250,POINT (4.5288612 52.048125)
53,Cinerama,cinema,4.4787445,51.9170682,POINT (4.4787445 51.9170682)
54,TR Witte de With,theatre,4.4789835,51.9155919,POINT (4.4789835 51.9155919)
55,Muziekcentrum Zoeterwoude,arts_centre,4.4994212,52.1174069,POINT (4.4994212 52.1174069)
56,Marcanto Muziekcentrum,arts_centre,4.3718338,52.0642422,POINT (4.3718338 52.0642422)
57,Het Veur Theater,theatre,4.3954700,52.0824549,POINT (4.39547 52.0824549)
58,Fokker Terminal,theatre,4.3397834,52.0658565,POINT (4.3397834 52.0658565)
59,De Besturing,arts_centre,4.3452856,52.0660070,POINT (4.3452856 52.066007)
60,Atelier Potvis,arts_centre,4.3151221,52.0783557,POINT (4.3151221 52.0783557)
61,Theater aan het Spui,theatre,4.3167652,52.0762082,POINT (4.3167652 52.0762082)
62,Korzo,theatre,4.3058269,52.0787226,POINT (4.3058269 52.0787226)
63,Bas Bogers,arts_centre,4.3124133,52.0844276,POINT (4.3124133 52.0844276)
64,KOO,arts_centre,4.3056372,52.0748289,POINT (4.3056372 52.0748289)
65,Theater De Vaillant,theatre,4.3032784,52.0688404,POINT (4.3032784 52.0688404)
66,Filmhuis Den Haag,cinema,4.3171829,52.0761911,POINT (4.3171829 52.0761911)
67,Tlön Projects,arts_centre,4.3017346,52.0816962,POINT (4.3017346 52.0816962)
68,Galerie Ramakers,arts_centre,4.3015928,52.0818339,POINT (4.3015928 52.0818339)
69,BorderKitchen,theatre,4.3092528,52.0882333,POINT (4.3092528 52.0882333)
70,Kunstatelier Het Kruithuis,arts_centre,4.1318030,51.8288318,POINT (4.131803 51.8288318)
71,Theater Kruispunt,theatre,4.5367085,51.8564916,POINT (4.5367085 51.8564916)
72,Centrum voor de Kunsten,theatre,4.3271133,51.8493139,POINT (4.3271133 51.8493139)
73,Gemak,arts_centre,4.3121971,52.0744092,POINT (4.3121971 52.0744092)
74,Stroom Den Haag,arts_centre,4.3038533,52.0834086,POINT (4.3038533 52.0834086)
75,Theater Schuurkerkje,theatre,4.2587856,51.9225548,POINT (4.2587856 51.9225548)
76,Kunstmin,theatre,4.6764388,51.8139750,POINT (4.6764388 51.813975)
77,Benevia,theatre,4.6717912,51.7913454,POINT (4.6717912 51.7913454)
78,Vue Cinemas,cinema,4.3398684,51.9099189,POINT (4.3398684 51.9099189)
79,Tante Nino,arts_centre,4.4964763,51.9140417,POINT (4.4964763 51.9140417)
80,Maas theater en dans,theatre,4.4620695,51.9055490,POINT (4.4620695 51.905549)
81,Werkplaats Formaat,arts_centre,4.4550868,51.9042549,POINT (4.4550868 51.9042549)
82,Filmhuis Gouda,cinema,4.7019427,52.0076484,POINT (4.7019427 52.0076484)
83,Cinema The Movies,cinema,4.6704159,51.8144381,POINT (4.6704159 51.8144381)
84,Poppentheater Damiët van Dalsum,theatre,4.6660795,51.8171211,POINT (4.6660795 51.8171211)
85,De Buurvrouw,theatre,4.4717086,51.9614161,POINT (4.4717086 51.9614161)
86,Electriciteitsfabriek,arts_centre,4.2903381,52.0768052,POINT (4.2903381 52.0768052)
87,Theater MENS,theatre,4.8213906,52.0772310,POINT (4.8213906 52.077231)
88,Creatief Centrum Sliedrecht,arts_centre,4.7654296,51.8269635,POINT (4.7654296 51.8269635)
89,Splotzs,arts_centre,4.6337731,52.2048575,POINT (4.6337731 52.2048575)
90,Oude Raadhuis,arts_centre,4.5036552,52.1967193,POINT (4.5036552 52.1967193)
91,Galerie de Pomp,arts_centre,4.5035792,52.1968394,POINT (4.5035792 52.1968394)
92,Wibar Leiden,arts_centre,4.5099593,52.1603916,POINT (4.5099593 52.1603916)
93,Thuishaven Haastrecht,theatre,4.7762436,52.0014012,POINT (4.7762436 52.0014012)
94,De Oude School,theatre,4.7014721,51.7941674,POINT (4.7014721 51.7941674)
95,Kunsthuis Leiden,arts_centre,4.4941269,52.1573267,POINT (4.4941269 52.1573267)
96,Galerie Helder,arts_centre,4.2904340,52.0827223,POINT (4.290434 52.0827223)
97,Galerie Maurits van de Laar,arts_centre,4.3103855,52.0743112,POINT (4.3103855 52.0743112)
98,Galerie Sophie,arts_centre,4.3139310,52.0734178,POINT (4.313931 52.0734178)
99,Grafische Werkplaats,arts_centre,4.3071254,52.0745564,POINT (4.3071254 52.0745564)
100,Liefhertje en De Grote Witte Reus,arts_centre,4.3207961,52.0709332,POINT (4.3207961 52.0709332)
101,MOOSE,arts_centre,4.3005683,52.0823102,POINT (4.3005683 52.0823102)
