,name,type,x,y,geometry
0,Gezondheidscentrum Nieuw Rijswijk,doctors,4.2997503,52.0374131,POINT (4.2997503 52.0374131)
1,Havenpolikliniek,hospital,4.4982210,51.9203549,POINT (4.498221 51.9203549)
2,Gezondheidscentrum Merenwijk,doctors,4.5040126,52.1771258,POINT (4.5040126 52.1771258)
3,,doctors,4.2858490,52.0333230,POINT (4.285849 52.033323)
4,Gezondheidscentrum Het Kruispunt,doctors,4.3119120,52.0310797,POINT (4.311912 52.0310797)
5,Dierenkliniek Moens,veterinary,4.4954855,52.1547750,POINT (4.4954855 52.154775)
6,,dentist,4.6318446,52.2015587,POINT (4.6318446 52.2015587)
7,Dierenasiel Midden Holland,veterinary,4.6926443,52.0331557,POINT (4.6926443 52.0331557)
8,,doctors,4.5138933,52.1786389,POINT (4.5138933 52.1786389)
9,Huisartsenpraktijk Tolhek,doctors,4.4441288,52.0050153,POINT (4.4441288 52.0050153)
10,Tandarts Van Buuren,dentist,4.4441868,52.0050184,POINT (4.4441868 52.0050184)
11,Gezondheidscentrum G. van der Stoel,doctors,4.4442653,52.1251099,POINT (4.4442653 52.1251099)
12,HMC Gezondheidscentrum Wassenaar,doctors,4.3994233,52.1467017,POINT (4.3994233 52.1467017)
13,Huisartsenpraktijk Binkhorst,doctors,4.4380158,52.0120629,POINT (4.4380158 52.0120629)
14,Huisarts Vos,doctors,4.3457268,51.9826824,POINT (4.3457268 51.9826824)
15,Parnassia psycho-medisch centrum,hospital,4.2095193,52.0453777,POINT (4.2095193 52.0453777)
16,De Beemd,doctors,4.2784402,52.0234309,POINT (4.2784402 52.0234309)
17,Medisch centrum Meander,doctors,4.3917364,52.0043002,POINT (4.3917364 52.0043002)
18,Praktijk J.M. Mathot,doctors,4.5592249,51.8811441,POINT (4.5592249 51.8811441)
19,Huisartsenpraktijk ZorgPunt Lombardijen,doctors,4.5167348,51.8784481,POINT (4.5167348 51.8784481)
20,CityKids Blessing,clinic,4.2620397,51.8226954,POINT (4.2620397 51.8226954)
21,Huisartsenpraktijk Herman Gorterhof,doctors,4.3159917,51.8542291,POINT (4.3159917 51.8542291)
22,Dierenartspraktijk Drechtstreek,veterinary,4.6758767,51.7872640,POINT (4.6758767 51.787264)
23,De Korte Vliet,dentist,4.4711374,52.1416114,POINT (4.4711374 52.1416114)
24,Dierenarts Heemskerk,veterinary,4.4689184,52.1775672,POINT (4.4689184 52.1775672)
