,name,type,x,y,geometry
0,Eetcafé Hagedis,restaurant,4.2928326,52.0784108,POINT (4.2928326 52.0784108)
1,Zeebries,pub,4.1029295,51.9862309,POINT (4.1029295 51.9862309)
2,IJssalon,pub,4.4839382,51.9229345,POINT (4.4839382 51.9229345)
3,Ming Garden,restaurant,4.4665417,51.8975751,POINT (4.4665417 51.8975751)
4,Burger King,fast_food,4.4032107,51.9282955,POINT (4.4032107 51.9282955)
5,Burger King,fast_food,4.3940784,51.9813673,POINT (4.3940784 51.9813673)
6,Burger King,fast_food,4.5565255,51.9511435,POINT (4.5565255 51.9511435)
7,Burger King,fast_food,4.3953820,51.9848153,POINT (4.395382 51.9848153)
8,Burger King,fast_food,4.3240971,52.0817871,POINT (4.3240971 52.0817871)
9,Het Wapen van Heinenoord,restaurant,4.4742736,51.8259561,POINT (4.4742736 51.8259561)
10,McDonald's,fast_food,4.3161770,52.0359743,POINT (4.316177 52.0359743)
11,McDonald's,fast_food,4.4756512,51.9218994,POINT (4.4756512 51.9218994)
12,McDonald's,fast_food,4.4800853,51.9183004,POINT (4.4800853 51.9183004)
13,McDonald's,fast_food,4.4835880,51.9203332,POINT (4.483588 51.9203332)
14,McDonald's,fast_food,4.5663321,51.9255727,POINT (4.5663321 51.9255727)
15,Zoet of Zout,restaurant,4.0441555,51.8261205,POINT (4.0441555 51.8261205)
16,Scheepswerf De Delft,restaurant,4.4523723,51.9025340,POINT (4.4523723 51.902534)
17,Barbaar,cafe,4.3540103,52.0115528,POINT (4.3540103 52.0115528)
18,Café de Postduif,bar,4.4893273,51.8902042,POINT (4.4893273 51.8902042)
19,"BIJ René, 't Wapen van Leimuiden",pub,4.6737063,52.2247695,POINT (4.6737063 52.2247695)
20,Villa Beukenhof,restaurant,4.4698952,52.1765122,POINT (4.4698952 52.1765122)
21,Partycentrum Keizer,pub,4.6715837,52.2216327,POINT (4.6715837 52.2216327)
22,The Duke of Oz,pub,4.4861901,52.1628567,POINT (4.4861901 52.1628567)
23,'t Spoortje,pub,4.5029186,52.1635189,POINT (4.5029186 52.1635189)
24,Malle Jan,restaurant,4.4886064,52.1571324,POINT (4.4886064 52.1571324)
25,Tanoor,restaurant,4.5037548,52.1617912,POINT (4.5037548 52.1617912)
26,Smaak,restaurant,4.4769576,51.9097807,POINT (4.4769576 51.9097807)
27,Eetcafe 't Centrum,restaurant,4.7827848,51.9329263,POINT (4.7827848 51.9329263)
28,Het Haasje,fast_food,4.4748575,52.1914551,POINT (4.4748575 52.1914551)
29,De Gouwe,pub,4.4639780,52.1791531,POINT (4.463978 52.1791531)
30,Foodmaster,fast_food,4.4710843,52.1857089,POINT (4.4710843 52.1857089)
31,Bread & Butter,cafe,4.4710801,52.1858116,POINT (4.4710801 52.1858116)
32,China House,restaurant,4.4696614,52.1854161,POINT (4.4696614 52.1854161)
33,Pipa Streetfood Bar,pub,4.4825438,52.1619342,POINT (4.4825438 52.1619342)
34,Domino's,fast_food,4.4696260,52.1859460,POINT (4.469626 52.185946)
35,De Jonker,restaurant,4.4697889,52.1860609,POINT (4.4697889 52.1860609)
36,Suzie’s & Van Aken,restaurant,4.4682530,52.1768868,POINT (4.468253 52.1768868)
37,Het beleg van Oegstgeest,cafe,4.4707773,52.1776919,POINT (4.4707773 52.1776919)
38,Nieuwe Wereld,restaurant,4.4684558,52.1773168,POINT (4.4684558 52.1773168)
39,Snackbar,fast_food,4.4697446,52.1608285,POINT (4.4697446 52.1608285)
40,Skiko's Dailycatesse,fast_food,4.4697297,52.1590999,POINT (4.4697297 52.1590999)
41,Stadscafé Van der Werff,pub,4.4847806,52.1638520,POINT (4.4847806 52.163852)
42,Supersnack,fast_food,4.1780290,52.0300564,POINT (4.178029 52.0300564)
43,De Zon,restaurant,4.5069865,52.1987839,POINT (4.5069865 52.1987839)
44,"Tratoria - Pizzeria ""Caruso""",restaurant,4.5067022,52.1989529,POINT (4.5067022 52.1989529)
45,Grand Café Vlot,cafe,4.4851222,52.1613406,POINT (4.4851222 52.1613406)
46,Bagel Bakery,cafe,4.4809160,51.9164408,POINT (4.480916 51.9164408)
47,Bagels & Beans,cafe,4.4885735,51.9215427,POINT (4.4885735 51.9215427)
48,Bazar,restaurant,4.4789141,51.9159390,POINT (4.4789141 51.915939)
49,VIP,restaurant,4.4660027,51.9153854,POINT (4.4660027 51.9153854)
50,Pol,cafe,4.4843685,51.9228506,POINT (4.4843685 51.9228506)
51,Apartt,restaurant,4.4907119,51.9199883,POINT (4.4907119 51.9199883)
52,Coopvaert,restaurant,4.4835844,51.9177715,POINT (4.4835844 51.9177715)
53,Daily Wok,fast_food,4.4756718,51.9176272,POINT (4.4756718 51.9176272)
54,De Kleine Ondeugd,restaurant,4.4990730,51.9228440,POINT (4.499073 51.922844)
55,De Pijp,restaurant,4.4674135,51.9161180,POINT (4.4674135 51.916118)
56,De Witte Aap,bar,4.4762998,51.9152914,POINT (4.4762998 51.9152914)
57,Dizzy,cafe,4.4633990,51.9134200,POINT (4.463399 51.91342)
58,Dudok,cafe,4.4825609,51.9220412,POINT (4.4825609 51.9220412)
59,Dunya Lokanta,restaurant,4.4726693,51.9269172,POINT (4.4726693 51.9269172)
60,Floor,cafe,4.4745594,51.9201812,POINT (4.4745594 51.9201812)
61,Gamasot,restaurant,4.4887263,51.9218495,POINT (4.4887263 51.9218495)
62,La Cubanita,restaurant,4.4979570,51.9218660,POINT (4.497957 51.921866)
63,Lux,restaurant,4.4633890,51.9132264,POINT (4.463389 51.9132264)
64,Marcus Exotic,restaurant,4.4674500,51.9227255,POINT (4.46745 51.9227255)
