,name,type,x,y,geometry
0,Keerweer,bus_stop,4.6438773,51.7723718,POINT (4.6438773 51.7723718)
1,Station Zuid,bus_stop,4.6742024,51.7901280,POINT (4.6742024 51.790128)
2,Kapteynweg,bus_stop,4.6786733,51.7905044,POINT (4.6786733 51.7905044)
3,Spirea,bus_stop,4.6689756,51.7930547,POINT (4.6689756 51.7930547)
4,Marisplein,bus_stop,4.6566232,51.7971446,POINT (4.6566232 51.7971446)
5,Patersweg,bus_stop,4.6667216,51.7986455,POINT (4.6667216 51.7986455)
6,Buurtschap Zinkweg,bus_stop,4.3885641,51.8018530,POINT (4.3885641 51.801853)
7,Weizigtpark,bus_stop,4.6638210,51.8046540,POINT (4.663821 51.804654)
8,Transvaalstraat,bus_stop,4.6774983,51.8064635,POINT (4.6774983 51.8064635)
9,Maasplaza,bus_stop,4.6553566,51.8113642,POINT (4.6553566 51.8113642)
10,Grevelingenweg,bus_stop,4.7211166,51.8154493,POINT (4.7211166 51.8154493)
11,Maasstraat,bus_stop,4.6892530,51.8186402,POINT (4.689253 51.8186402)
12,Burgemeester Feitsmapark,bus_stop,4.7846974,51.8234199,POINT (4.7846974 51.8234199)
13,Edelweisslaan,bus_stop,4.6928558,51.8274505,POINT (4.6928558 51.8274505)
14,Willem Dreeslaan,bus_stop,4.7003146,51.8280928,POINT (4.7003146 51.8280928)
15,Kooihaven,bus_stop,4.7190553,51.8284305,POINT (4.7190553 51.8284305)
16,P.C. Hooftsingel,bus_stop,4.6390789,51.8462455,POINT (4.6390789 51.8462455)
17,Peursumseweg,bus_stop,4.8869405,51.8530381,POINT (4.8869405 51.8530381)
18,IHC Smit,bus_stop,4.6292015,51.8820948,POINT (4.6292015 51.8820948)
19,Liesveldviaduct,bus_stop,4.3428636,51.9095646,POINT (4.3428636 51.9095646)
20,Dillenburgsingel,bus_stop,4.3469844,51.9245957,POINT (4.3469844 51.9245957)
21,Holysingel,bus_stop,4.3426290,51.9303410,POINT (4.342629 51.930341)
22,Kleinpolderplein,bus_stop,4.4369343,51.9310474,POINT (4.4369343 51.9310474)
23,Kopenhagenlaan,bus_stop,4.3544015,51.9365009,POINT (4.3544015 51.9365009)
24,Boterdorpseweg,bus_stop,4.4962466,51.9810658,POINT (4.4962466 51.9810658)
25,Dorpsstraat,bus_stop,4.5001272,51.9893131,POINT (4.5001272 51.9893131)
26,Duikersloot,bus_stop,4.4452827,52.0086388,POINT (4.4452827 52.0086388)
27,Paterswoldestraat,bus_stop,4.2831872,52.0432217,POINT (4.2831872 52.0432217)
28,Potgieterlaan,bus_stop,4.3503291,52.0742093,POINT (4.3503291 52.0742093)
29,Groenoord,bus_stop,4.4937643,52.1684174,POINT (4.4937643 52.1684174)
30,Vossemeerlaan,bus_stop,4.5141563,52.1803350,POINT (4.5141563 52.180335)
31,Duinvallei/N206,bus_stop,4.4198099,52.1899972,POINT (4.4198099 52.1899972)
32,Anna Blamandreef,bus_stop,4.5527077,52.2420859,POINT (4.5527077 52.2420859)
33,Keukenhofdreef,bus_stop,4.5526151,52.2644444,POINT (4.5526151 52.2644444)
34,Haaswijk,bus_stop,4.4836599,52.1908595,POINT (4.4836599 52.1908595)
35,Acacialaan,bus_stop,4.6662235,52.2213862,POINT (4.6662235 52.2213862)
36,Kloofpad,bus_stop,4.6731026,52.2219918,POINT (4.6731026 52.2219918)
37,Tuinderij,bus_stop,4.6753672,52.2231750,POINT (4.6753672 52.223175)
38,Leimuiden/,bus_stop,4.6755128,52.2251937,POINT (4.6755128 52.2251937)
39,Spinozalaan,bus_stop,4.4337028,52.1895860,POINT (4.4337028 52.189586)
40,Rijnsaterwoude,bus_stop,4.6735840,52.1864755,POINT (4.673584 52.1864755)
41,Rijnsaterwoude,bus_stop,4.6748275,52.1874118,POINT (4.6748275 52.1874118)
