,name,type,x,y,geometry
0,Van Blommesteynweg,tram_stop,4.4656938,51.8874246,POINT (4.4656938 51.8874246)
1,Malieveld,tram_stop,4.3172163,52.0838118,POINT (4.3172163 52.0838118)
2,Broekpolder,tram_stop,4.3454691,52.0497604,POINT (4.3454691 52.0497604)
3,Vlaardingen West,station,4.3151182,51.9037705,POINT (4.3151182 51.9037705)
4,Burgemeester Oudlaan,tram_stop,4.5230465,51.9166196,POINT (4.5230465 51.9166196)
5,Capelsebrug,subway_entrance,4.5585217,51.9218956,POINT (4.5585217 51.9218956)
6,Bergse Plaslaan,tram_stop,4.4894591,51.9515395,POINT (4.4894591 51.9515395)
7,Driemanspolder,station,4.4772981,52.0484521,POINT (4.4772981 52.0484521)
8,Buytenwegh,station,4.4786685,52.0667621,POINT (4.4786685 52.0667621)
9,Forepark,station,4.3929940,52.0698797,POINT (4.392994 52.0698797)
10,Beurs,subway_entrance,4.4802802,51.9192013,POINT (4.4802802 51.9192013)
11,Parkweg,subway_entrance,4.3947838,51.9215071,POINT (4.3947838 51.9215071)
12,Parkweg,subway_entrance,4.3929385,51.9208295,POINT (4.3929385 51.9208295)
13,Dijkzigt,subway_entrance,4.4656585,51.9126798,POINT (4.4656585 51.9126798)
14,Dijkzigt,subway_entrance,4.4666385,51.9122221,POINT (4.4666385 51.9122221)
15,Coolhaven,subway_entrance,4.4578290,51.9098758,POINT (4.457829 51.9098758)
16,Delfshaven,subway_entrance,4.4457698,51.9101829,POINT (4.4457698 51.9101829)
17,Delfshaven,subway_entrance,4.4456926,51.9099023,POINT (4.4456926 51.9099023)
18,,subway_entrance,4.4350643,51.9126269,POINT (4.4350643 51.9126269)
19,Marconiplein,subway_entrance,4.4325433,51.9132115,POINT (4.4325433 51.9132115)
20,Willem Dreeslaan,station,4.5345966,52.0652767,POINT (4.5345966 52.0652767)
21,Parkweg,tram_stop,4.3954584,51.9242849,POINT (4.3954584 51.9242849)
22,Prinses Beatrixlaan,tram_stop,4.3758987,51.9295333,POINT (4.3758987 51.9295333)
23,Bachplein,tram_stop,4.3711149,51.9375671,POINT (4.3711149 51.9375671)
24,Harreweg,tram_stop,4.3747114,51.9443628,POINT (4.3747114 51.9443628)
25,Boeier,tram_stop,4.3686514,51.9422608,POINT (4.3686514 51.9422608)
26,P.C. Hooftplein,tram_stop,4.4355357,51.9157181,POINT (4.4355357 51.9157181)
27,Koemarkt,tram_stop,4.4024598,51.9157204,POINT (4.4024598 51.9157204)
28,Dorpskade,tram_stop,4.2896431,52.0172229,POINT (4.2896431 52.0172229)
29,Parijsplein,tram_stop,4.2950783,52.0196240,POINT (4.2950783 52.019624)
30,Parijsplein,tram_stop,4.2962395,52.0200133,POINT (4.2962395 52.0200133)
31,Eikelenburg,tram_stop,4.3061364,52.0226064,POINT (4.3061364 52.0226064)
32,Lage Veld,tram_stop,4.2945506,52.0219351,POINT (4.2945506 52.0219351)
33,Weidedreef,tram_stop,4.3189658,52.0281330,POINT (4.3189658 52.028133)
34,Bogaard stadscentrum,tram_stop,4.3170549,52.0346475,POINT (4.3170549 52.0346475)
35,Volmerlaan,tram_stop,4.3311316,52.0372369,POINT (4.3311316 52.0372369)
36,Handelskade,tram_stop,4.3365690,52.0442344,POINT (4.336569 52.0442344)
37,Handelskade,tram_stop,4.3356003,52.0449194,POINT (4.3356003 52.0449194)
38,Generaal Spoorlaan,tram_stop,4.3307940,52.0483978,POINT (4.330794 52.0483978)
39,Aletta Jacobsstraat,tram_stop,4.3124204,52.0246956,POINT (4.3124204 52.0246956)
40,Patentlaan,tram_stop,4.3390340,52.0415578,POINT (4.339034 52.0415578)
41,Admiraal Helfrichsingel,tram_stop,4.3176623,52.0324691,POINT (4.3176623 52.0324691)
